V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Class
432923,400923,428923,414821,435026,458615,409692,464103,422205,423846,421128,428051,46359,439385,0
432462,400462,429385,414872,434205,458667,409744,463897,421077,422667,420769,427949,463282,43841,0
432769,400667,429538,415641,433692,458359,409692,463026,420769,422205,420667,428205,462872,438923,0
432872,401179,429641,41559,434359,458256,409744,463077,421744,423538,421077,428769,463231,439641,0
432615,401179,429231,415128,434769,458667,40959,462769,421077,42441,421282,428821,463282,439846,0
432103,400462,42841,415333,434564,458718,409333,461692,420256,423282,420974,428103,462821,438974,0
431949,400103,428051,415179,434359,458462,408974,46159,421231,422667,420103,426974,462513,437846,0
432564,400667,427846,414308,43441,458308,408718,461487,420564,423026,41959,426667,462205,438051,0
432615,401077,427641,413949,434513,45841,409128,460821,418769,422974,420205,427385,462718,438974,0
432615,401128,427692,414205,43441,458256,409282,460872,419436,422872,421282,427795,463744,439333,0
432615,401077,427282,414308,434256,457949,408769,46159,420615,422872,421077,427282,463179,438256,0
431692,400256,425949,41359,433949,458154,408615,461538,41959,422359,419744,426205,461333,437077,0
430821,399333,424769,412462,43359,458462,408974,461026,418872,422154,419026,42559,460615,436974,0
430821,399846,425179,412256,433846,458462,409128,461692,420564,422564,419436,426359,461026,437128,0
431282,400615,426051,412769,434103,458615,408974,462872,42159,422513,419897,427436,461179,43759,0
431385,400359,42559,412769,433795,458615,409128,462769,420615,422462,419949,426923,461026,437897,0
430667,399795,424718,412256,433692,45841,409436,462051,420256,422615,419385,425436,460615,436974,0
430359,399641,424923,412205,434103,45841,409077,461641,420359,422615,418923,425385,460615,437026,0
431231,4000,42559,41241,434205,458667,408564,461077,419231,422308,419231,426462,461487,438205,0
43159,400359,425744,412256,434154,458821,408821,460718,418821,421692,4200,427026,462154,437897,0
431436,400564,425949,412359,434513,458821,409231,461282,420667,422256,420974,427231,462462,438154,0
432462,401282,426308,413231,434308,458718,409179,461795,421333,424051,421795,427436,463231,440051,0
433128,40241,426615,4140,433641,458564,408974,461795,420462,424513,421641,427436,463897,440154,0
432667,4020,42641,413744,433436,458615,408821,462154,421333,423846,420872,427128,463436,438513,0
432154,400769,4260,413231,4340,458564,408718,463026,423026,424256,420872,427026,462769,437897,0
431744,400769,425744,412872,434359,458513,408821,463897,423179,424769,420923,426974,462513,438615,0
431179,400718,425077,412513,433641,458718,408769,463436,420923,423231,419744,426205,461538,438103,0
430872,4000,424513,412154,432923,458564,408667,461744,418923,421641,418615,425385,46041,436205,0
430821,400205,425282,412256,433282,458256,408769,461077,419282,421641,418974,425692,460513,4360,0
431128,401128,426513,413026,433949,458359,408974,461641,4200,422051,41959,426564,461128,437436,0
431128,400872,426513,413077,433744,458564,408769,461487,419026,421846,419538,426564,460872,437436,0
430615,400051,425949,412103,433026,45841,408564,460718,418513,421692,4200,426308,461128,436923,0
430718,400308,426308,412154,433077,458256,408667,461179,420205,422462,420872,427128,462256,437949,0
431487,400821,426821,412821,433538,45841,409231,462564,421282,423128,421077,42759,462462,438256,0
431385,400308,426359,41241,433641,458667,410051,463333,421538,423282,420718,427077,461897,437231,0
430821,399744,425436,411949,433282,458872,409795,462821,421744,423538,420821,426872,462154,436821,0
430872,400615,425333,412103,433026,458564,408205,461487,420256,423641,420872,427128,462821,437026,0
430615,400769,425333,412103,433026,457949,407744,460769,418667,422462,419897,426718,462256,436718,0
429744,399282,424974,411846,433077,458103,408564,460923,418923,420872,418718,425897,460615,436359,0
430103,399436,425282,411949,433282,458308,408769,461179,41959,421026,418821,426051,460103,436667,0
431385,401077,4260,412462,433744,458051,408872,461846,420359,422359,419897,426769,461333,437077,0
431744,401077,425846,412615,433949,45841,409436,462564,420821,422974,420154,427128,461949,437641,0
430564,399846,425179,412154,433179,458462,409487,4620,4200,422205,419692,426872,461077,437026,0
429692,399538,424923,412051,432462,457795,408821,46159,420308,421333,419795,426256,460615,435744,0
429897,400103,424769,412308,433282,4580,408718,462462,422051,42241,420564,426513,461538,436308,0
