dataset,classifier,imbalance_ratio,imbalance_category,n_instances,n_fp,n_fn,n_errors,accuracy,precision,recall,f1
egg-eye-state,xgb,8257.0,extreme,14980,248,313,561,0.8751668891855807,0.8727552591072345,0.8445878848063555,0.858440575321726
egg-eye-state,svm,8257.0,extreme,14980,0,2014,2014,0.5518469069870939,0.0,0.0,0.0
egg-eye-state,rf,8257.0,extreme,14980,210,369,579,0.8711615487316422,0.8867924528301887,0.8167825223435948,0.8503489273714138
phoneme,svm,3818.0,extreme,5404,175,200,375,0.7688039457459926,0.6136865342163356,0.5815899581589958,0.5972073039742213
phoneme,rf,3818.0,extreme,5404,91,79,170,0.8951911220715166,0.8142857142857143,0.8347280334728033,0.8243801652892562
phoneme,xgb,3818.0,extreme,5404,109,86,195,0.8797780517879161,0.782435129740519,0.8200836820083682,0.8008171603677222
ozone-level-8hr,rf,14.84,strong,2534,2,42,44,0.9421813403416556,0.7777777777777778,0.1428571428571428,0.2413793103448276
ozone-level-8hr,svm,14.84,strong,2534,0,49,49,0.9356110381077528,0.0,0.0,0.0
ozone-level-8hr,xgb,14.84,strong,2534,5,39,44,0.9421813403416556,0.6666666666666666,0.2040816326530612,0.3125
pc1,svm,13.4,strong,1109,0,24,24,0.927927927927928,0.0,0.0,0.0
pc1,xgb,13.4,strong,1109,10,15,25,0.924924924924925,0.4736842105263157,0.375,0.4186046511627907
pc1,rf,13.4,strong,1109,4,17,21,0.9369369369369368,0.6363636363636364,0.2916666666666667,0.4
heart-disease,rf,12.62,strong,303,5,6,11,0.8791208791208791,0.868421052631579,0.8461538461538461,0.8571428571428571
heart-disease,xgb,12.62,strong,303,8,9,17,0.8131868131868132,0.7894736842105263,0.7692307692307693,0.7792207792207793
heart-disease,svm,12.62,strong,303,5,7,12,0.8681318681318682,0.8648648648648649,0.8205128205128205,0.8421052631578947
bank-marketing,svm,7.55,moderate,45211,161,1299,1460,0.8923621350634031,0.655982905982906,0.1911581569115815,0.2960462873674059
bank-marketing,rf,7.55,moderate,45211,279,1047,1326,0.902241226776762,0.6670644391408115,0.3480697384806974,0.4574468085106383
bank-marketing,xgb,7.55,moderate,45211,413,856,1269,0.9064435269831908,0.6448839208942391,0.4669987546699875,0.5417118093174431
adult-census-income,xgb,6.43,moderate,48842,1712,3024,4736,0.6767897358902614,0.7106152805949966,0.5816270060874378,0.6396835057821059
