dataset,classifier,accuracy,precision,recall,f1,tn,fp,fn,tp
blood-transfusion,rf,0.7288888888888889,0.4102564102564102,0.2962962962962963,0.3440860215053763,148.0,23.0,38.0,16.0
blood-transfusion,svm,0.76,0.0,0.0,0.0,171.0,0.0,54.0,0.0
blood-transfusion,xgb,0.7155555555555555,0.3684210526315789,0.2592592592592592,0.3043478260869565,147.0,24.0,40.0,14.0
column,rf,0.8602150537634409,0.8709677419354839,0.9152542372881356,0.8925619834710744,26.0,8.0,5.0,54.0
column,svm,0.6236559139784946,0.6333333333333333,0.9661016949152542,0.7651006711409396,1.0,33.0,2.0,57.0
column,xgb,0.8494623655913979,0.8571428571428571,0.9152542372881356,0.8852459016393442,25.0,9.0,5.0,54.0
diabetes,rf,0.7619047619047619,0.7246376811594203,0.5813953488372093,0.6451612903225806,126.0,19.0,36.0,50.0
diabetes,svm,0.7748917748917749,0.8269230769230769,0.5,0.6231884057971014,136.0,9.0,43.0,43.0
diabetes,xgb,0.7316017316017316,0.6395348837209303,0.6395348837209303,0.6395348837209303,114.0,31.0,31.0,55.0
egg-eye-state,rf,0.8720516243880729,0.8866200967221923,0.8192651439920556,0.8516129032258064,2269.0,211.0,364.0,1650.0
egg-eye-state,svm,0.5518469069870939,0.0,0.0,0.0,2480.0,0.0,2014.0,0.0
egg-eye-state,xgb,0.8751668891855807,0.875452196382429,0.8411122144985105,0.8579387186629527,2239.0,241.0,320.0,1694.0
hill_valley,rf,0.6401098901098901,0.6318407960199005,0.6902173913043478,0.6597402597402597,106.0,74.0,57.0,127.0
hill_valley,svm,0.5274725274725275,0.8,0.0869565217391304,0.1568627450980392,176.0,4.0,168.0,16.0
hill_valley,xgb,0.5934065934065934,0.5947368421052631,0.6141304347826086,0.6042780748663101,103.0,77.0,71.0,113.0
kc1,rf,0.8641390205371248,0.5454545454545454,0.3296703296703296,0.410958904109589,517.0,25.0,61.0,30.0
kc1,svm,0.8578199052132701,0.6,0.0329670329670329,0.0625,540.0,2.0,88.0,3.0
kc1,xgb,0.8751974723538705,0.6153846153846154,0.3516483516483517,0.4475524475524475,522.0,20.0,59.0,32.0
kc2,rf,0.8343949044585988,0.6153846153846154,0.5,0.5517241379310345,115.0,10.0,16.0,16.0
kc2,svm,0.8280254777070064,0.7777777777777778,0.21875,0.3414634146341463,123.0,2.0,25.0,7.0
kc2,xgb,0.821656050955414,0.5769230769230769,0.46875,0.5172413793103449,114.0,11.0,17.0,15.0
ozone-level-8hr,rf,0.9421813403416556,0.7777777777777778,0.1428571428571428,0.2413793103448276,710.0,2.0,42.0,7.0
ozone-level-8hr,svm,0.9356110381077528,0.0,0.0,0.0,712.0,0.0,49.0,0.0
ozone-level-8hr,xgb,0.9434954007884364,0.7142857142857143,0.2040816326530612,0.3174603174603174,708.0,4.0,39.0,10.0
pc1,rf,0.9369369369369368,0.6363636363636364,0.2916666666666667,0.4,305.0,4.0,17.0,7.0
pc1,svm,0.927927927927928,0.0,0.0,0.0,309.0,0.0,24.0,0.0
pc1,xgb,0.927927927927928,0.5,0.375,0.4285714285714285,300.0,9.0,15.0,9.0
phoneme,rf,0.9013563501849567,0.8271604938271605,0.8410041841004184,0.8340248962655602,1060.0,84.0,76.0,402.0
phoneme,svm,0.7688039457459926,0.6136865342163356,0.5815899581589958,0.5972073039742213,969.0,175.0,200.0,278.0
phoneme,xgb,0.8871763255240444,0.8004073319755601,0.8221757322175732,0.8111455108359134,1046.0,98.0,85.0,393.0
qsar-biodeg,rf,0.8738170347003155,0.8247422680412371,0.7766990291262136,0.8,197.0,17.0,23.0,80.0
qsar-biodeg,svm,0.8927444794952681,0.8556701030927835,0.8058252427184466,0.83,200.0,14.0,20.0,83.0
qsar-biodeg,xgb,0.8706624605678234,0.8163265306122449,0.7766990291262136,0.7960199004975125,196.0,18.0,23.0,80.0
spambase,rf,0.943519188993483,0.9441441441441442,0.9176882661996496,0.9307282415630552,779.0,31.0,47.0,524.0
spambase,svm,0.8921071687183201,0.9414225941422594,0.7880910683012259,0.8579599618684461,782.0,28.0,121.0,450.0
spambase,xgb,0.945691527878349,0.9444444444444444,0.9229422066549912,0.933569530558016,779.0,31.0,44.0,527.0
wdbc,rf,0.935672514619883,0.9166666666666666,0.9016393442622952,0.9090909090909092,105.0,5.0,6.0,55.0
wdbc,svm,0.9883040935672516,0.9836065573770492,0.9836065573770492,0.9836065573770492,109.0,1.0,1.0,60.0
wdbc,xgb,0.9473684210526316,0.9333333333333332,0.918032786885246,0.9256198347107438,106.0,4.0,5.0,56.0
