dataset,classifier,fp-fn,silhouette,calinski,davies,num_clusters
blood-transfusion,rf,fp,0.3387946711397323,25.511563271290953,0.766099726991992,6
blood-transfusion,rf,fn,0.46790274399927345,54.04107453106145,0.6631904104632206,7
blood-transfusion,svm,fn,0.4066343311745992,60.72011281916595,0.6949380520947778,9
blood-transfusion,xgb,fp,0.33899167361623656,29.79914524168678,0.841135592807228,5
blood-transfusion,xgb,fn,0.44291817948862794,52.54243281409055,0.6447458329639618,7
column,rf,fp,0.5553926352130466,15.06966415301856,0.5404599228596826,2
column,rf,fn,0.3720716828603564,16.745485486526388,0.4344500573048679,3
column,svm,fp,0.21524963413980888,16.023188945199024,1.2655050459534634,5
column,svm,fn,,,,2
column,xgb,fp,0.36275304021328225,8.32516256736142,0.4489744042488543,3
column,xgb,fn,0.3396917849156442,14.382092004834334,0.2259628662562184,3
diabetes,rf,fp,0.18029500919252336,6.017126535167227,0.9310397663388847,5
diabetes,rf,fn,0.18121823457403244,7.8224126575296085,1.1475699335201894,7
diabetes,svm,fp,0.25880638338478,5.126107820904624,0.7801215481043057,3
diabetes,svm,fn,0.21220647114481092,9.272135924153263,1.166637470547815,8
diabetes,xgb,fp,0.23890797002222605,9.301155052667582,0.8830334470965716,8
diabetes,xgb,fn,0.23451296839304694,8.661221053932795,0.9678892555267484,7
egg-eye-state,rf,fp,0.4228250807235553,20.236258267367727,1.0415218383367266,26
egg-eye-state,rf,fn,0.5846384653775446,46.55847676144921,0.8066368620007122,37
egg-eye-state,svm,fn,0.3107866171911713,11.081283506805946,0.48208469826683686,1147
egg-eye-state,xgb,fp,0.2433414767081741,5.266314993910799,0.7691859051431521,93
egg-eye-state,xgb,fn,0.52381087985125,28.831255888337854,0.89022443448306,43
hill_valley,rf,fp,0.16525046099123913,103.09795379647473,0.28210405360239404,49
hill_valley,rf,fn,0.13232305424924154,7459.508377923485,0.27789152166566145,41
hill_valley,svm,fp,0.2802961655680264,3.970685480248581,0.31532442763265905,2
hill_valley,svm,fn,0.6354607074099798,6835.425626911573,0.2951010996127486,27
hill_valley,xgb,fp,0.6275078631787038,1862.9790939784316,0.28145780771821777,15
hill_valley,xgb,fn,0.6831283550884981,39430.736815586046,0.04820896532458352,17
kc1,rf,fp,0.2367691724328689,22.81510232997038,0.6951381763386926,8
kc1,rf,fn,0.30009248442462017,50.70582951174629,0.7681708180052141,9
kc1,svm,fp,,,,2
kc1,svm,fn,0.2934412237163784,59.60035322446456,0.9996211302443597,11
kc1,xgb,fp,0.4937492700507252,42.7289759401741,0.695891549483231,3
