dataset,classifier,method,seed,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
diabetes,rf,AffinityPropagation,0,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,7,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,42,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,99,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,123,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,256,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,512,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,777,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,1000,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,2024,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,Meta_GWO,0,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,0,20.0,30.0,9,0.24567305489279218,3.728625543642565,0.5085994301961132
diabetes,rf,Meta_WOA,0,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,20.0,30.0,9,0.18095276976095848,3.6305600717520496,0.5174304746852868
diabetes,rf,Meta_PSO,7,20.0,30.0,9,0.005400193535201386,2.9684502785890237,0.7674009408277433
diabetes,rf,Meta_WOA,7,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079032
diabetes,rf,Meta_WOA,42,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079032
diabetes,rf,Meta_GWO,123,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,123,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,20.0,30.0,9,0.08318432883126607,4.298243840027822,0.8796030797273678
diabetes,rf,Meta_PSO,256,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_WOA,256,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079033
diabetes,rf,Meta_GWO,512,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,512,20.0,30.0,9,0.2948559433753543,2.922167496486551,0.5470722254862619
diabetes,rf,Meta_WOA,512,20.0,30.0,9,0.2948559433753543,2.922167496486551,0.5470722254862619
diabetes,rf,Meta_GWO,777,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,20.0,30.0,9,0.24070713849466724,2.5325228102205197,0.5867725546146487
diabetes,rf,Meta_GWO,1000,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,1000,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_WOA,1000,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,20.0,30.0,9,0.11732169586589727,3.4852624847965075,0.743803362407008
diabetes,rf,Meta_PSO,2024,20.0,30.0,9,0.2948559433753543,2.922167496486551,0.5470722254862619
diabetes,rf,Meta_WOA,2024,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,0,20.0,50.0,9,0.24567305489279218,3.728625543642565,0.5085994301961131
diabetes,rf,Meta_PSO,0,20.0,50.0,9,0.18095276976095848,3.6305600717520496,0.5174304746852869
diabetes,rf,Meta_WOA,0,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,7,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,7,20.0,50.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079032
diabetes,rf,Meta_GWO,42,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,20.0,50.0,9,0.24567305489279218,3.728625543642565,0.5085994301961132
diabetes,rf,Meta_WOA,42,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,123,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,123,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,512,20.0,50.0,9,0.19309368116641712,3.4744262283007776,0.5584084963746933
diabetes,rf,Meta_WOA,512,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,1000,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,1000,20.0,50.0,9,0.24567305489279218,3.728625543642565,0.5085994301961131
diabetes,rf,Meta_WOA,1000,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,0,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,0,50.0,30.0,9,0.19309368116641712,3.4744262283007776,0.5584084963746933
diabetes,rf,Meta_WOA,0,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,50.0,30.0,9,0.04474215328422689,2.7470836322278105,0.6346156890578759
diabetes,rf,Meta_PSO,7,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,7,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,123,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,123,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,512,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,512,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,1000,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,1000,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,1000,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,0,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,0,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,0,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,50.0,50.0,9,0.08835675183059959,3.143701320385911,0.5880863271413534
diabetes,rf,Meta_PSO,512,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,512,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,svm,AffinityPropagation,0,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,7,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,42,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,99,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,123,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,256,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,512,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,777,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,1000,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,2024,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,Meta_GWO,0,20.0,30.0,9,0.21988174249053719,3.445722548588064,0.5489222104366119
diabetes,svm,Meta_PSO,0,20.0,30.0,9,0.21988174249053719,3.445722548588064,0.5489222104366119
diabetes,svm,Meta_WOA,0,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,7,20.0,30.0,9,0.052152474156192015,3.3988792338395823,0.7458815824324387
diabetes,svm,Meta_PSO,7,20.0,30.0,9,0.014902866157992387,2.5162147104004373,0.6752769228744816
diabetes,svm,Meta_WOA,7,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,42,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,42,20.0,30.0,9,0.005686567261611425,2.6809456059531716,0.8499957163358076
diabetes,svm,Meta_WOA,42,20.0,30.0,9,0.18938526463528904,2.0721179761708877,0.6537842126105886
diabetes,svm,Meta_GWO,99,20.0,30.0,9,-0.04982984448664219,1.916538601041886,1.0515950429192105
diabetes,svm,Meta_PSO,99,20.0,30.0,9,0.06567134738543393,2.185414756815636,0.6508215977019728
diabetes,svm,Meta_WOA,99,20.0,30.0,9,0.18938526463528904,2.0721179761708877,0.6537842126105886
diabetes,svm,Meta_GWO,123,20.0,30.0,9,-0.1297711935653507,2.354135635473696,0.9979028341875497
diabetes,svm,Meta_PSO,123,20.0,30.0,9,0.1003707777641903,2.9397862603824607,0.6512131265013524
diabetes,svm,Meta_WOA,123,20.0,30.0,9,0.024891071305599224,2.398529727726129,0.6771433931462892
diabetes,svm,Meta_GWO,256,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,256,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,256,20.0,30.0,9,0.23216348448716465,2.3770740290955987,0.6111646457393352
diabetes,svm,Meta_GWO,512,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,512,20.0,30.0,9,0.1668489206454746,3.8986246455329123,0.8262377330152922
diabetes,svm,Meta_WOA,512,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,777,20.0,30.0,9,-0.019559653512363287,2.3229585237655663,0.726386910015816
diabetes,svm,Meta_PSO,777,20.0,30.0,9,-0.10029064193089894,2.478885980346848,0.6938451584331747
diabetes,svm,Meta_WOA,777,20.0,30.0,9,-0.040477156798995766,2.337002556254195,0.8889525607859196
diabetes,svm,Meta_GWO,1000,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,1000,20.0,30.0,9,-0.06220490539587098,2.509000432716074,0.6666804350173895
diabetes,svm,Meta_WOA,1000,20.0,30.0,9,0.10169533410379697,1.51758440233841,0.7636273142548368
diabetes,svm,Meta_GWO,2024,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_PSO,2024,20.0,30.0,9,0.21988174249053719,3.445722548588064,0.5489222104366119
diabetes,svm,Meta_WOA,2024,20.0,30.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_GWO,0,20.0,50.0,9,0.05069991445702742,2.7774876700095104,0.7053190845116087
diabetes,svm,Meta_PSO,0,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Meta_WOA,0,20.0,50.0,9,0.3768430709531048,4.21649573875533,0.46193593869515537
