dataset,classifier,method,seed,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
diabetes,rf,AffinityPropagation,0,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,7,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,42,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,99,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,123,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,256,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,512,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,AffinityPropagation,777,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,1000,,,9,0.12712785493899958,8.512324486442981,1.1952527370713821
diabetes,rf,AffinityPropagation,2024,,,9,0.12712785493899958,8.512324486442983,1.1952527370713821
diabetes,rf,Meta_GWO,0,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,0,20.0,30.0,9,0.17498074877511957,4.035685204973087,0.7135405221460548
diabetes,rf,Meta_WOA,0,20.0,30.0,9,0.19309368116641712,3.474426228300777,0.5584084963746933
diabetes,rf,Meta_GA,0,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079032
diabetes,rf,Meta_GWO,7,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,7,20.0,30.0,9,-0.003007519460622706,3.4533529868227193,0.6741509931736507
diabetes,rf,Meta_WOA,7,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,7,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_PSO,42,20.0,30.0,9,0.07964107284772236,3.0928164655632897,0.6012453950328437
diabetes,rf,Meta_WOA,42,20.0,30.0,9,0.21360370800186979,3.669721629569086,0.5307526716218071
diabetes,rf,Meta_GA,42,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,99,20.0,30.0,9,0.0727713232316229,4.564396451480239,0.9331626724611632
diabetes,rf,Meta_GWO,123,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_PSO,123,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,123,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_GWO,256,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,20.0,30.0,9,0.0359559044591138,3.136889812117121,0.6047335089760388
diabetes,rf,Meta_WOA,256,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,256,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_PSO,512,20.0,30.0,9,0.2016849793921612,2.9668779598497883,0.5495978139607135
diabetes,rf,Meta_WOA,512,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,512,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_WOA,777,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079033
diabetes,rf,Meta_GA,777,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079033
diabetes,rf,Meta_GWO,1000,20.0,30.0,9,0.05495759581288894,1.7574031960747751,0.7388200470667177
diabetes,rf,Meta_PSO,1000,20.0,30.0,9,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Meta_WOA,1000,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,1000,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,20.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079033
diabetes,rf,Meta_GA,2024,20.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,0,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,0,20.0,50.0,9,0.21360370800186979,3.669721629569086,0.5307526716218071
diabetes,rf,Meta_WOA,0,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,0,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,7,20.0,50.0,9,0.109922644414104,3.2600057542639838,0.5872397557253209
diabetes,rf,Meta_WOA,7,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,7,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,42,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,42,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,99,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,123,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,123,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,20.0,50.0,9,0.21360370800186979,3.669721629569086,0.5307526716218071
diabetes,rf,Meta_GA,123,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,256,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,512,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,512,20.0,50.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079032
diabetes,rf,Meta_GA,512,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,777,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,1000,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,1000,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,1000,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,1000,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,20.0,50.0,9,0.27656923747791995,2.726174459747252,0.5660816880267141
diabetes,rf,Meta_GA,2024,20.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,0,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,0,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,0,50.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079032
diabetes,rf,Meta_GA,0,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,7,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,7,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,7,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,42,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,50.0,30.0,9,0.17301613507542787,3.534726944778141,0.5285764432561213
diabetes,rf,Meta_PSO,99,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,99,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,123,50.0,30.0,9,0.1491164937918959,3.258963798174605,0.5985383490041899
diabetes,rf,Meta_PSO,123,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,50.0,30.0,9,0.27299468397235843,2.9765284424466185,0.5429902643079033
diabetes,rf,Meta_GA,123,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,256,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,50.0,30.0,9,0.2948559433753543,2.922167496486551,0.5470722254862619
diabetes,rf,Meta_PSO,512,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,512,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,512,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,777,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,1000,50.0,30.0,9,0.08522020461902637,3.308725711605627,0.5550312633212379
diabetes,rf,Meta_PSO,1000,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,1000,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,1000,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,2024,50.0,30.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,0,50.0,50.0,9,0.24716709634585618,3.7776904630281343,0.5175323021392925
diabetes,rf,Meta_PSO,0,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,0,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,0,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,7,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,42,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,99,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,123,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,256,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,512,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,512,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,512,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,512,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,777,50.0,50.0,9,0.24567305489279218,3.728625543642565,0.5085994301961131
diabetes,rf,Meta_PSO,777,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,777,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,777,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,1000,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GWO,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_PSO,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_WOA,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Meta_GA,2024,50.0,50.0,9,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,20.0,30.0,2,0.27656923747791995,2.726174459747252,0.5660816880267141
diabetes,rf,EvoCluster_PSO,42,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,20.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,20.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,50.0,30.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,0,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,7,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,42,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,99,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,123,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,256,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,512,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,777,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,1000,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,EvoCluster_PSO,2024,50.0,50.0,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,svm,AffinityPropagation,0,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,7,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,42,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
diabetes,svm,AffinityPropagation,99,,,9,0.21894600673587272,9.61624207463073,1.1659440461257997
