dataset,classifier,method,seed,num_clusters,silhouette
heart-disease,rf,AffinityPropagation_Gower,0,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,7,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,42,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,99,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,123,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,256,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,512,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,777,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,1000,3,0.2360369712114334
heart-disease,rf,AffinityPropagation_Gower,2024,3,0.2360369712114334
heart-disease,svm,AffinityPropagation_Gower,0,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,7,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,42,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,99,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,123,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,256,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,512,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,777,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,1000,4,0.13153430819511414
heart-disease,svm,AffinityPropagation_Gower,2024,4,0.13153430819511414
heart-disease,xgb,AffinityPropagation_Gower,0,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,7,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,42,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,99,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,123,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,256,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,512,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,777,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,1000,4,0.26925012469291687
heart-disease,xgb,AffinityPropagation_Gower,2024,4,0.26925012469291687
credit-approval,rf,AffinityPropagation_Gower,0,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,7,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,42,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,99,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,123,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,256,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,512,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,777,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,1000,7,0.18155640363693237
credit-approval,rf,AffinityPropagation_Gower,2024,7,0.18155640363693237
credit-approval,svm,AffinityPropagation_Gower,0,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,7,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,42,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,99,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,123,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,256,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,512,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,777,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,1000,6,0.1880471110343933
credit-approval,svm,AffinityPropagation_Gower,2024,6,0.1880471110343933
credit-approval,xgb,AffinityPropagation_Gower,0,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,7,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,42,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,99,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,123,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,256,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,512,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,777,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,1000,8,0.16563566029071808
credit-approval,xgb,AffinityPropagation_Gower,2024,8,0.16563566029071808
mammographic-mass,rf,AffinityPropagation_Gower,0,10,0.29892706871032715
mammographic-mass,rf,AffinityPropagation_Gower,7,10,0.32531559467315674
mammographic-mass,rf,AffinityPropagation_Gower,42,10,0.29892706871032715
mammographic-mass,rf,AffinityPropagation_Gower,99,10,0.32531559467315674
mammographic-mass,rf,AffinityPropagation_Gower,123,10,0.32531559467315674
mammographic-mass,rf,AffinityPropagation_Gower,256,10,0.32531559467315674
mammographic-mass,rf,AffinityPropagation_Gower,512,10,0.32531559467315674
mammographic-mass,rf,AffinityPropagation_Gower,777,10,0.29892706871032715
mammographic-mass,rf,AffinityPropagation_Gower,1000,10,0.32531559467315674
mammographic-mass,rf,AffinityPropagation_Gower,2024,10,0.29892706871032715
mammographic-mass,svm,AffinityPropagation_Gower,0,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,7,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,42,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,99,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,123,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,256,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,512,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,777,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,1000,9,0.3269634544849396
mammographic-mass,svm,AffinityPropagation_Gower,2024,9,0.3269634544849396
mammographic-mass,xgb,AffinityPropagation_Gower,0,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,7,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,42,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,99,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,123,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,256,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,512,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,777,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,1000,11,0.3177507817745209
mammographic-mass,xgb,AffinityPropagation_Gower,2024,11,0.3177507817745209
contraceptive-method-choice,rf,AffinityPropagation_Gower,0,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,7,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,42,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,99,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,123,17,0.24059945344924927
contraceptive-method-choice,rf,AffinityPropagation_Gower,256,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,512,17,0.2445351779460907
contraceptive-method-choice,rf,AffinityPropagation_Gower,777,17,0.2410285919904709
