dataset,classifier,method,trial,algo,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
diabetes,rf,Optuna_Auto,0,WOA,97,35,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,2,GWO,56,97,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,3,WOA,66,45,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,4,GWO,89,33,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,5,GWO,55,14,2,0.27656923747791995,2.726174459747252,0.5660816880267141
diabetes,rf,Optuna_Auto,6,GWO,69,19,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,7,PSO,57,43,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,8,WOA,54,52,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,9,GWO,96,96,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,10,WOA,12,71,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,11,PSO,29,98,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,13,WOA,74,73,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,14,GWO,83,86,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,15,WOA,41,60,4,0.17301613507542787,3.534726944778141,0.5285764432561213
diabetes,rf,Optuna_Auto,16,PSO,10,22,5,0.07309317480106789,3.2363855467255696,0.5766016553024393
diabetes,rf,Optuna_Auto,17,GA,80,31,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,18,GWO,47,86,3,0.26063623700567407,3.89098257644884,0.5047974632207689
diabetes,rf,Optuna_Auto,19,WOA,30,61,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,20,WOA,63,30,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,21,WOA,69,40,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,22,WOA,89,56,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,23,WOA,46,50,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,24,WOA,76,11,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,25,GWO,63,24,2,0.27656923747791995,2.726174459747252,0.5660816880267141
diabetes,rf,Optuna_Auto,26,PSO,90,66,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,28,WOA,100,37,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,rf,Optuna_Auto,29,GA,18,44,2,0.39230792901016465,4.527682671606711,0.442282219699346
diabetes,svm,Optuna_Auto,0,WOA,55,35,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,2,GWO,13,14,6,-0.01501976530774122,3.4888599363727995,1.041224888163799
diabetes,svm,Optuna_Auto,3,WOA,23,44,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,4,PSO,58,14,3,0.17231699892084745,3.9818760249270078,0.8025480753694048
diabetes,svm,Optuna_Auto,5,PSO,86,68,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,6,GWO,14,52,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,9,GA,82,52,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,10,WOA,99,100,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,11,WOA,56,39,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,12,WOA,33,37,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,13,WOA,64,64,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,14,WOA,28,33,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,15,WOA,69,49,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,16,WOA,48,78,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,17,WOA,79,29,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,18,GWO,30,47,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,19,PSO,47,68,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,20,WOA,71,24,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,21,PSO,99,86,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,22,PSO,83,61,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,23,PSO,92,76,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,24,PSO,57,41,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,25,WOA,76,59,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,26,PSO,88,93,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,27,GWO,22,72,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,svm,Optuna_Auto,28,WOA,39,45,2,0.3768430709531048,4.21649573875533,0.46193593869515537
diabetes,xgb,Optuna_Auto,0,GWO,73,87,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,1,GWO,35,86,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,2,GA,36,49,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,3,PSO,99,14,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,4,WOA,41,79,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,5,GWO,78,29,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,6,GWO,29,79,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,7,GA,52,62,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,9,PSO,72,10,4,0.26440539870612545,3.917366823678637,0.4978441477386939
diabetes,xgb,Optuna_Auto,10,WOA,99,97,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,11,GWO,11,97,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,12,GWO,64,77,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,13,GWO,12,64,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,14,GWO,82,88,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,15,GWO,62,66,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,16,GWO,47,47,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,17,WOA,88,87,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,18,PSO,23,89,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,19,GWO,57,71,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,20,GWO,72,51,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,26,PSO,20,73,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,27,WOA,52,84,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,28,GWO,67,91,2,0.4062152346768868,4.758638788970933,0.43285862446651546
diabetes,xgb,Optuna_Auto,29,PSO,88,23,2,0.4062152346768868,4.758638788970933,0.43285862446651546
