,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
0,blood-transfusion,rf,AffinityPropagation,,,7.0,0.4110934623859931,0.0,52.836031357789565,0.0,0.815133634919192,0.0,10
1,blood-transfusion,rf,EvoCluster_PSO,20.0,30.0,5.6,0.26702204596326334,0.059928460728673964,10.875617887090785,7.8612929688383195,0.45651070699140506,0.03379864993863345,10
2,blood-transfusion,rf,EvoCluster_PSO,20.0,50.0,5.6,0.2917107538308093,0.0777631153716391,9.109301040335957,3.4031897443266836,0.4354142415373186,0.04030061259824922,10
3,blood-transfusion,rf,EvoCluster_PSO,50.0,30.0,4.8,0.33873124377729913,0.10251226975944923,9.436336090647682,2.9955520815854038,0.4360591485413627,0.04657637387031952,10
4,blood-transfusion,rf,EvoCluster_PSO,50.0,50.0,5.2,0.2833878401807071,0.10016829734027671,7.616138228417457,2.3101036942994506,0.42342009928568236,0.03705944144790787,10
5,blood-transfusion,rf,Meta_GWO,20.0,30.0,7.0,0.2691882292601363,0.05999382823747808,14.199711056024572,7.742383770031286,0.49946443422412345,0.06126040442284799,10
6,blood-transfusion,rf,Meta_GWO,20.0,50.0,7.0,0.28273773825312126,0.03213860694238191,10.901671525749002,3.201453577513551,0.47222887889089726,0.04460892197321743,10
7,blood-transfusion,rf,Meta_GWO,50.0,30.0,7.0,0.27138290519600256,0.09330721547335478,9.35097084352257,3.6266016905790477,0.44871261856844613,0.043245735070523116,10
8,blood-transfusion,rf,Meta_GWO,50.0,50.0,7.0,0.23722844094601533,0.08652195841985684,8.406519830018235,1.8608510179736606,0.4428030414296746,0.03222580117779996,10
9,blood-transfusion,rf,Meta_PSO,20.0,30.0,7.0,0.24367913382509881,0.05784012886669914,11.954198294982888,4.509334793575758,0.49506143867325525,0.040223992461492664,10
10,blood-transfusion,rf,Meta_PSO,20.0,50.0,7.0,0.23404532462061792,0.06749327493702557,10.240441975257621,5.152794032232835,0.4740585668249778,0.04316237036139366,10
11,blood-transfusion,rf,Meta_PSO,50.0,30.0,7.0,0.28474900111393653,0.0812324145525763,8.516059905047879,1.1355933698569696,0.44912557381432167,0.04120669273492919,10
12,blood-transfusion,rf,Meta_PSO,50.0,50.0,7.0,0.2701699545749068,0.10019738359436937,7.741978253374528,1.3604768286431634,0.43343664038005036,0.046333104533613466,10
13,blood-transfusion,rf,Meta_WOA,20.0,30.0,7.0,0.3784892552037054,0.06095729063865042,6.22463762559104,1.4594934327250884,0.392560104563261,0.031208907814388197,10
14,blood-transfusion,rf,Meta_WOA,20.0,50.0,7.0,0.410827662635767,0.023914873097588826,5.601985928754415,0.3452511917592051,0.37478806210755244,0.010246470616048841,10
15,blood-transfusion,rf,Meta_WOA,50.0,30.0,7.0,0.40603536905933063,0.023899280622489756,5.703851200099752,0.40999365685717243,0.37294367471389067,0.013692257496273896,10
16,blood-transfusion,rf,Meta_WOA,50.0,50.0,7.0,0.40603224448150244,0.01698310807543975,5.688102381766623,0.4371386841151384,0.37306441937082846,0.012584475044064337,10
17,blood-transfusion,svm,AffinityPropagation,,,9.0,0.4118655962918563,0.0,50.79398987348656,0.0,0.7821811573291788,0.0,10
18,blood-transfusion,svm,EvoCluster_PSO,20.0,30.0,6.5,0.3205583738188579,0.08512684631611801,14.57715579164758,6.135063707676916,0.4372718189610172,0.07382810699577604,10
19,blood-transfusion,svm,EvoCluster_PSO,20.0,50.0,6.6,0.35349258237874015,0.02678028471413366,11.820105260295716,1.925314462253189,0.3894397616716595,0.03966780151543097,10
20,blood-transfusion,svm,EvoCluster_PSO,50.0,30.0,6.6,0.3475746883713314,0.031179838931144264,11.335708630824751,2.4009673490099805,0.38713850858604937,0.03874388928325559,10
21,blood-transfusion,svm,EvoCluster_PSO,50.0,50.0,6.9,0.3512902882534289,0.08095621358377741,10.681686230938046,1.493165027374875,0.3687629297075531,0.03192391388603403,10
