,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
0,blood-transfusion,rf,AffinityPropagation,,,7.0,0.4110934623859931,0.0,52.836031357789565,0.0,0.815133634919192,0.0,10
1,blood-transfusion,rf,EvoCluster_PSO,20.0,30.0,4.8,0.3311862489450424,0.0670707125695129,8.258297654990459,2.7228301670568005,0.4213009243017951,0.03942224400559926,10
2,blood-transfusion,rf,EvoCluster_PSO,20.0,50.0,5.0,0.3218628351287723,0.054568765078615,8.971093922254738,3.103012948082433,0.42696014558985657,0.04952911237722096,10
3,blood-transfusion,rf,EvoCluster_PSO,50.0,30.0,5.2,0.30249734752826873,0.0925291193803576,9.183165409998269,2.794418512687266,0.4350552195841061,0.04264221591806702,10
4,blood-transfusion,rf,EvoCluster_PSO,50.0,50.0,5.0,0.32423973621625063,0.10281551308542904,7.357712535327407,1.5822852931254705,0.40963405542756987,0.049616074780766274,10
5,blood-transfusion,rf,Meta_GA,20.0,30.0,7.0,0.25098084223414324,0.059609847863393704,10.97053574092673,4.626707489051044,0.454466759735379,0.0536321623595,10
6,blood-transfusion,rf,Meta_GA,20.0,50.0,7.0,0.2819706564985629,0.0928566326364655,11.117915769025316,7.768493660689181,0.45220019140343465,0.05045507773243568,10
7,blood-transfusion,rf,Meta_GA,50.0,30.0,7.0,0.35298759678879316,0.05655266336570549,8.23795411081119,3.0811203450983813,0.3986507795595244,0.0473514414532648,10
8,blood-transfusion,rf,Meta_GA,50.0,50.0,7.0,0.30734764663608843,0.05715113178848192,9.224278082498934,3.26871015280532,0.4172568092696894,0.04225674648276505,10
9,blood-transfusion,rf,Meta_GWO,20.0,30.0,7.0,0.2731890134011722,0.06141606532436514,10.809674206060816,3.4905526854056355,0.4709498747450988,0.04776148781607748,10
10,blood-transfusion,rf,Meta_GWO,20.0,50.0,7.0,0.2764409763844107,0.08860237491531542,10.49072853883791,3.918303364523009,0.4542611694098488,0.04828844841298368,10
11,blood-transfusion,rf,Meta_GWO,50.0,30.0,7.0,0.27813622048124875,0.07693570575965486,8.54139157416958,2.5902766693253634,0.4322673576483453,0.034232455965410635,10
12,blood-transfusion,rf,Meta_GWO,50.0,50.0,7.0,0.326750466214932,0.09779267901040485,7.212660941022365,1.0517454313582193,0.39765765134711584,0.03391073107043127,10
13,blood-transfusion,rf,Meta_PSO,20.0,30.0,7.0,0.2665602978871072,0.05494494390298409,13.003863849924425,5.56104141159633,0.493892765031977,0.07570076468525248,10
14,blood-transfusion,rf,Meta_PSO,20.0,50.0,7.0,0.26701570706926936,0.0722202002061567,11.833094055769537,4.083648894414378,0.4797181657126304,0.043214921422013206,10
15,blood-transfusion,rf,Meta_PSO,50.0,30.0,7.0,0.2931140135543986,0.06337052188963554,9.072516621575584,2.5860524655108184,0.4556845223598903,0.039622014272887966,10
16,blood-transfusion,rf,Meta_PSO,50.0,50.0,7.0,0.3017689635438073,0.060746479127430794,9.183688390498968,2.8436110271500183,0.42369047008359145,0.04669561115827262,10
17,blood-transfusion,rf,Meta_WOA,20.0,30.0,7.0,0.378149699418887,0.06436912096631874,7.082429539624473,2.6376623657006535,0.4042089291037132,0.04195923587796373,10
18,blood-transfusion,rf,Meta_WOA,20.0,50.0,7.0,0.40870339478435935,0.04177883371426259,6.368422899878421,1.6893971318485723,0.39413815480219305,0.04343334611888908,10
19,blood-transfusion,rf,Meta_WOA,50.0,30.0,7.0,0.4131390134746913,0.020626639302073143,5.577568233169447,0.4221304853491155,0.3754935418167334,0.012070347303663966,10
20,blood-transfusion,rf,Meta_WOA,50.0,50.0,7.0,0.39783415976614245,0.04205388740080721,6.332918334482608,1.2261018693621575,0.38189487124290267,0.025835590986831997,10
21,blood-transfusion,svm,AffinityPropagation,,,9.0,0.4118655962918563,0.0,50.79398987348656,0.0,0.7821811573291788,0.0,10
22,blood-transfusion,svm,EvoCluster_PSO,20.0,30.0,6.7,0.31630599809965887,0.06915155072351116,12.718081619243986,2.001817796393727,0.41330266443725555,0.03880813427046057,10
23,blood-transfusion,svm,EvoCluster_PSO,20.0,50.0,6.7,0.35470554351589856,0.03071860605589062,11.217750268439156,2.149315365679047,0.38009679835434784,0.040422327884511854,10
24,blood-transfusion,svm,EvoCluster_PSO,50.0,30.0,7.1,0.3363670486697302,0.04413895624255051,11.425223535102633,1.9002188184228246,0.38109025358321,0.04037453415964296,10
25,blood-transfusion,svm,EvoCluster_PSO,50.0,50.0,6.9,0.3640097534164415,0.023949039637329424,9.482086932586352,2.0548154934342953,0.35479826608658965,0.024259361173246445,10
26,blood-transfusion,svm,Meta_GA,20.0,30.0,9.0,0.28638266482840735,0.09848693941143799,12.12189967377025,1.3236268102928905,0.42655411599212456,0.03194484749038058,10
27,blood-transfusion,svm,Meta_GA,20.0,50.0,9.0,0.31219657654387967,0.08716950863408197,12.93427974449225,3.444622045274341,0.4012566800717967,0.045674561920571705,10
28,blood-transfusion,svm,Meta_GA,50.0,30.0,9.0,0.36318393335883753,0.010451005499285843,9.395486270450998,0.8479646679469917,0.34152525412918355,0.009180815520705753,10
29,blood-transfusion,svm,Meta_GA,50.0,50.0,9.0,0.3413281499923477,0.03901379133333388,9.735485810318787,2.400339573778984,0.3425532507771491,0.020804234458476328,10
30,blood-transfusion,svm,Meta_GWO,20.0,30.0,9.0,0.28605670631832875,0.07816750848872502,12.499082590557904,2.5330985616932415,0.40731590726889344,0.04734446626657066,10
31,blood-transfusion,svm,Meta_GWO,20.0,50.0,9.0,0.3390706898457374,0.0521779976990719,12.57134369550483,2.7998285654428234,0.4039932448565732,0.050549564299879765,10
32,blood-transfusion,svm,Meta_GWO,50.0,30.0,9.0,0.36191125376056854,0.00905593043831729,10.381597515800523,1.0934718396545355,0.36703218823544326,0.03139208492778248,10
33,blood-transfusion,svm,Meta_GWO,50.0,50.0,9.0,0.36068544230841504,0.02030156373768069,11.116695660276292,1.818664451045308,0.37452820901795997,0.036274930392814715,10
34,blood-transfusion,svm,Meta_PSO,20.0,30.0,9.0,0.30037998984373987,0.06979022069716247,15.182332694732867,5.116714282107835,0.44005183669977443,0.06312870942741675,10
35,blood-transfusion,svm,Meta_PSO,20.0,50.0,9.0,0.2814367854440539,0.09524394774925476,13.752634944044186,1.9169359459835078,0.4352433542227021,0.03443956017773168,10
36,blood-transfusion,svm,Meta_PSO,50.0,30.0,9.0,0.29201776408589536,0.08747214583708457,11.237861451655593,1.7511514009471159,0.40636767568136245,0.045150940622141776,10
