dataset,classifier,method,num_clusters_mean,silhouette_mean,silhouette_std,n_seeds
congressional-voting,rf,AffinityPropagation_Gower,3.4,0.22407706156373025,0.05359504512745263,10
congressional-voting,svm,AffinityPropagation_Gower,2.6,0.24118045717477798,0.03644539466425018,10
congressional-voting,xgb,AffinityPropagation_Gower,2.0,0.3026599884033203,0.0,10
contraceptive-method-choice,rf,AffinityPropagation_Gower,17.0,0.2437116399407387,0.0015390618936604022,10
contraceptive-method-choice,svm,AffinityPropagation_Gower,17.0,0.2533318817615509,0.001068034781077062,10
contraceptive-method-choice,xgb,AffinityPropagation_Gower,17.0,0.22901500761508942,0.0,10
credit-approval,rf,AffinityPropagation_Gower,7.0,0.18155640363693237,0.0,10
credit-approval,svm,AffinityPropagation_Gower,6.0,0.1880471110343933,0.0,10
credit-approval,xgb,AffinityPropagation_Gower,8.0,0.16563566029071808,0.0,10
cylinder-bands,rf,AffinityPropagation_Gower,6.0,0.15022572875022888,0.0,10
cylinder-bands,svm,AffinityPropagation_Gower,8.0,0.11748954653739929,0.0,10
cylinder-bands,xgb,AffinityPropagation_Gower,8.0,0.14862756431102753,0.0,10
german-credit,rf,AffinityPropagation_Gower,8.0,0.07573971897363663,0.0,10
german-credit,svm,AffinityPropagation_Gower,10.0,0.0852503553032875,0.0,10
german-credit,xgb,AffinityPropagation_Gower,11.0,0.0988256186246872,0.0,10
heart-disease,rf,AffinityPropagation_Gower,3.0,0.2360369712114334,0.0,10
heart-disease,svm,AffinityPropagation_Gower,4.0,0.13153430819511414,0.0,10
heart-disease,xgb,AffinityPropagation_Gower,4.0,0.26925012469291687,0.0,10
horse-colic,rf,AffinityPropagation_Gower,2.0,0.1349308341741562,0.0,10
horse-colic,svm,AffinityPropagation_Gower,4.0,0.15052299201488495,0.0,10
horse-colic,xgb,AffinityPropagation_Gower,3.0,0.12478955090045929,0.0,10
mammographic-mass,rf,AffinityPropagation_Gower,10.0,0.3147601842880249,0.01362697621133347,10
mammographic-mass,svm,AffinityPropagation_Gower,9.0,0.3269634544849396,0.0,10
mammographic-mass,xgb,AffinityPropagation_Gower,11.0,0.3177507817745209,0.0,10
